file_name,document_type,responsible_owner,type,value,score
expense_report_finding_0004.pdf,Expense Report,Max Wagner,DATE_TIME,May 2020,0.85
expense_report_finding_0004.pdf,Expense Report,Max Wagner,PERSON,Nina Beck,0.85
expense_report_finding_0004.pdf,Expense Report,Max Wagner,PERSON,Philipp Neumann,0.85
expense_report_finding_0004.pdf,Expense Report,Max Wagner,DATE_TIME,30 May 2020,0.85
expense_report_finding_0005.pdf,Expense Report,Lukas Weber,PERSON,Maria Schmidt,0.85
expense_report_finding_0005.pdf,Expense Report,Lukas Weber,LOCATION,E-20882,0.85
expense_report_finding_0005.pdf,Expense Report,Lukas Weber,ORGANIZATION,Project Management,0.85
expense_report_finding_0005.pdf,Expense Report,Lukas Weber,DATE_TIME,04 Jul 2020,0.85
expense_report_finding_0005.pdf,Expense Report,Lukas Weber,PERSON,Maria Schmidt,0.85
expense_report_finding_0005.pdf,Expense Report,Lukas Weber,PERSON,Philipp Neumann,0.85
expense_report_finding_0005.pdf,Expense Report,Lukas Weber,DATE_TIME,Jul 2020,0.85
expense_report_finding_0006.pdf,Expense Report,Maria Schmidt,PERSON,Elena Fischer,0.85
expense_report_finding_0006.pdf,Expense Report,Maria Schmidt,ORGANIZATION,E-20529,0.85
expense_report_finding_0006.pdf,Expense Report,Maria Schmidt,DATE_TIME,Aug 2020,0.85
expense_report_finding_0006.pdf,Expense Report,Maria Schmidt,PERSON,Elena Fischer,0.85
expense_report_finding_0006.pdf,Expense Report,Maria Schmidt,ORGANIZATION,Driver's License Number,0.85
expense_report_finding_0006.pdf,Expense Report,Maria Schmidt,PERSON,Laura König,0.85
expense_report_finding_0006.pdf,Expense Report,Maria Schmidt,DATE_TIME,Aug 2020,0.85
expense_report_finding_0006.pdf,Expense Report,Maria Schmidt,PHONE_NUMBER,4409-1182-21,0.75
expense_report_finding_0007.pdf,Expense Report,Maria Schmidt,PERSON,Jonas Keller,0.85
expense_report_finding_0007.pdf,Expense Report,Maria Schmidt,DATE_TIME,E-20680,0.85
expense_report_finding_0007.pdf,Expense Report,Maria Schmidt,ORGANIZATION,Project Management,0.85
expense_report_finding_0007.pdf,Expense Report,Maria Schmidt,DATE_TIME,Sept 2020,0.85
expense_report_finding_0007.pdf,Expense Report,Maria Schmidt,PERSON,Jonas Keller,0.85
expense_report_finding_0007.pdf,Expense Report,Maria Schmidt,LOCATION,Bangalore,0.85
expense_report_finding_0007.pdf,Expense Report,Maria Schmidt,DATE_TIME,2022-09-03,0.85
expense_report_finding_0007.pdf,Expense Report,Maria Schmidt,LOCATION,Pune,0.85
expense_report_finding_0007.pdf,Expense Report,Maria Schmidt,DATE_TIME,2022-09-07,0.85
expense_report_finding_0007.pdf,Expense Report,Maria Schmidt,LOCATION,Chennai,0.85
expense_report_finding_0007.pdf,Expense Report,Maria Schmidt,DATE_TIME,2022-09-09,0.85
expense_report_finding_0007.pdf,Expense Report,Maria Schmidt,PERSON,Philipp Neumann,0.85
expense_report_finding_0007.pdf,Expense Report,Maria Schmidt,DATE_TIME,Sept 2020,0.85
expense_report_finding_0008.pdf,Expense Report,Jonas Fischer,CREDIT_CARD,3782 822463 10005,1.0
expense_report_finding_0008.pdf,Expense Report,Jonas Fischer,PERSON,Nina Beck,0.85
expense_report_finding_0008.pdf,Expense Report,Jonas Fischer,DATE_TIME,Oct 2020,0.85
expense_report_finding_0008.pdf,Expense Report,Jonas Fischer,DATE_TIME,"5519
Billing / Shipping Address: Am Markt 5",0.85
expense_report_finding_0008.pdf,Expense Report,Jonas Fischer,LOCATION,Dresden,0.85
expense_report_finding_0008.pdf,Expense Report,Jonas Fischer,LOCATION,Germany,0.85
expense_report_finding_0008.pdf,Expense Report,Jonas Fischer,ORGANIZATION,Corporate Credit Card,0.85
expense_report_finding_0008.pdf,Expense Report,Jonas Fischer,PERSON,Laura König,0.85
expense_report_finding_0008.pdf,Expense Report,Jonas Fischer,DATE_TIME,Oct 2020,0.85
expense_report_finding_0008.pdf,Expense Report,Jonas Fischer,PHONE_NUMBER,+49 172 3310 5519,0.75
expense_report_finding_0009.pdf,Expense Report,Max Wagner,PERSON,Maria Schmidt,0.85
expense_report_finding_0009.pdf,Expense Report,Max Wagner,ORGANIZATION,Project Management,0.85
expense_report_finding_0009.pdf,Expense Report,Max Wagner,DATE_TIME,Nov 2020,0.85
expense_report_finding_0009.pdf,Expense Report,Max Wagner,PERSON,Philipp Neumann,0.85
expense_report_finding_0009.pdf,Expense Report,Max Wagner,DATE_TIME,Dec 2020,0.85
expense_report_finding_0009.pdf,Expense Report,Max Wagner,URL,maria.sc,0.5
expense_report_finding_0010.pdf,Expense Report,Priya Nair,PERSON,Elena Fischer,0.85
expense_report_finding_0010.pdf,Expense Report,Priya Nair,LOCATION,E-20645,0.85
expense_report_finding_0010.pdf,Expense Report,Priya Nair,ORGANIZATION,Project Management,0.85
expense_report_finding_0010.pdf,Expense Report,Priya Nair,PERSON,Elena Fischer,0.85
expense_report_finding_0010.pdf,Expense Report,Priya Nair,PERSON,elena dot fischer,0.85
expense_report_finding_0010.pdf,Expense Report,Priya Nair,PERSON,"E. Fischer
",0.85
expense_report_finding_0010.pdf,Expense Report,Priya Nair,PERSON,Philipp Neumann,0.85
expense_report_finding_0010.pdf,Expense Report,Priya Nair,PERSON,E. Fischer,0.85
expense_report_finding_0010.pdf,Expense Report,Priya Nair,DATE_TIME,07 Jan 2021,0.85
expense_report_finding_0011.pdf,Expense Report,Anna Keller,PERSON,Jonas Keller,0.85
expense_report_finding_0011.pdf,Expense Report,Anna Keller,DATE_TIME,Feb 2021,0.85
expense_report_finding_0011.pdf,Expense Report,Anna Keller,PERSON,Jonas Keller,0.85
expense_report_finding_0011.pdf,Expense Report,Anna Keller,PERSON,security_camera_still_keller.jpg,0.85
expense_report_finding_0011.pdf,Expense Report,Anna Keller,PERSON,Jonas Keller,0.85
expense_report_finding_0011.pdf,Expense Report,Anna Keller,PERSON,Laura König,0.85
expense_report_finding_0011.pdf,Expense Report,Anna Keller,DATE_TIME,13 Feb 2021,0.85
expense_report_finding_0011.pdf,Expense Report,Anna Keller,URL,keller.jp,0.5
expense_report_finding_0012.pdf,Expense Report,Jonas Fischer,DATE_TIME,1994-02-19,0.95
expense_report_finding_0012.pdf,Expense Report,Jonas Fischer,PERSON,Nina Beck,0.85
expense_report_finding_0012.pdf,Expense Report,Jonas Fischer,ORGANIZATION,E-20459,0.85
expense_report_finding_0012.pdf,Expense Report,Jonas Fischer,ORGANIZATION,Project Management,0.85
expense_report_finding_0012.pdf,Expense Report,Jonas Fischer,DATE_TIME,Mar 2021,0.85
expense_report_finding_0012.pdf,Expense Report,Jonas Fischer,PERSON,Nina Beck,0.85
expense_report_finding_0012.pdf,Expense Report,Jonas Fischer,ORGANIZATION,MED-DE-510483,0.85
expense_report_finding_0012.pdf,Expense Report,Jonas Fischer,PERSON,Philipp Neumann,0.85
expense_report_finding_0012.pdf,Expense Report,Jonas Fischer,DATE_TIME,Mar 2021,0.85
expense_report_clean_0013.pdf,Expense Report,Maria Schmidt,DATE_TIME,Apr 2021,0.85
expense_report_clean_0013.pdf,Expense Report,Maria Schmidt,DATE_TIME,Apr 2021,0.85
expense_report_clean_0014.pdf,Expense Report,Noah Becker,DATE_TIME,04 Jun 2021,0.85
expense_report_clean_0016.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Aug 2021,0.85
expense_report_clean_0016.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Aug 2021,0.85
expense_report_clean_0017.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Sept 2021,0.85
expense_report_clean_0017.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Sept 2021,0.85
expense_report_clean_0018.pdf,Expense Report,Anna Keller,ORGANIZATION,Team Lead,0.85
expense_report_clean_0018.pdf,Expense Report,Anna Keller,ORGANIZATION,IT Service Desk,0.85
expense_report_clean_0020.pdf,Expense Report,Anna Keller,DATE_TIME,Jan 2022,0.85
expense_report_clean_0020.pdf,Expense Report,Anna Keller,DATE_TIME,Jan 2022,0.85
expense_report_clean_0020.pdf,Expense Report,Anna Keller,ORGANIZATION,Team Lead,0.85
expense_report_clean_0020.pdf,Expense Report,Anna Keller,ORGANIZATION,IT Service Desk,0.85
expense_report_clean_0021.pdf,Expense Report,Max Wagner,ORGANIZATION,Project Management,0.85
expense_report_clean_0021.pdf,Expense Report,Max Wagner,DATE_TIME,Feb 2022,0.85
expense_report_clean_0021.pdf,Expense Report,Max Wagner,DATE_TIME,Feb 2022,0.85
expense_report_clean_0021.pdf,Expense Report,Max Wagner,ORGANIZATION,Team Lead,0.85
expense_report_clean_0021.pdf,Expense Report,Max Wagner,ORGANIZATION,IT Service Desk,0.85
expense_report_clean_0022.pdf,Expense Report,Maria Schmidt,DATE_TIME,Mar 2022,0.85
expense_report_clean_0022.pdf,Expense Report,Maria Schmidt,DATE_TIME,Mar 2022,0.85
expense_report_clean_0024.pdf,Expense Report,Maria Schmidt,ORGANIZATION,Project Management,0.85
expense_report_clean_0024.pdf,Expense Report,Maria Schmidt,DATE_TIME,07 Jun 2022,0.85
expense_report_clean_0024.pdf,Expense Report,Maria Schmidt,DATE_TIME,09 Jun 2022,0.85
expense_report_clean_0026.pdf,Expense Report,Jonas Fischer,DATE_TIME,Aug 2022,0.85
expense_report_clean_0026.pdf,Expense Report,Jonas Fischer,DATE_TIME,Aug 2022,0.85
expense_report_clean_0027.pdf,Expense Report,Max Wagner,DATE_TIME,Sept 2022,0.85
expense_report_clean_0027.pdf,Expense Report,Max Wagner,DATE_TIME,Sept 2022,0.85
expense_report_clean_0027.pdf,Expense Report,Max Wagner,ORGANIZATION,Team Lead,0.85
expense_report_clean_0027.pdf,Expense Report,Max Wagner,ORGANIZATION,IT Service Desk,0.85
expense_report_clean_0029.pdf,Expense Report,Tom Nguyen,DATE_TIME,09 Dec 2022,0.85
expense_report_clean_0029.pdf,Expense Report,Tom Nguyen,DATE_TIME,Dec 2022,0.85
expense_report_clean_0031.pdf,Expense Report,Sofia Hartmann,ORGANIZATION,Project Management,0.85
expense_report_clean_0031.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Feb 2023,0.85
expense_report_clean_0031.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Feb 2023,0.85
expense_report_clean_0032.pdf,Expense Report,Priya Nair,DATE_TIME,Mar 2023,0.85
expense_report_clean_0032.pdf,Expense Report,Priya Nair,DATE_TIME,Apr 2023,0.85
expense_report_clean_0034.pdf,Expense Report,Sofia Hartmann,ORGANIZATION,Project Management,0.85
expense_report_clean_0034.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Jun 2023,0.85
expense_report_clean_0034.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Jun 2023,0.85
expense_report_clean_0035.pdf,Expense Report,Maria Schmidt,DATE_TIME,Jul 2023,0.85
expense_report_clean_0035.pdf,Expense Report,Maria Schmidt,DATE_TIME,Jul 2023,0.85
expense_report_clean_0036.pdf,Expense Report,Maria Schmidt,ORGANIZATION,Project Management,0.85
expense_report_clean_0036.pdf,Expense Report,Maria Schmidt,DATE_TIME,Aug 2023,0.85
expense_report_clean_0036.pdf,Expense Report,Maria Schmidt,DATE_TIME,Aug 2023,0.85
expense_report_clean_0038.pdf,Expense Report,Max Wagner,DATE_TIME,07 Nov 2023,0.85
expense_report_clean_0038.pdf,Expense Report,Max Wagner,DATE_TIME,09 Nov 2023,0.85
expense_report_clean_0039.pdf,Expense Report,Tom Nguyen,ORGANIZATION,Team Lead,0.85
expense_report_clean_0039.pdf,Expense Report,Tom Nguyen,ORGANIZATION,IT Service Desk,0.85
expense_report_clean_0040.pdf,Expense Report,Maria Schmidt,ORGANIZATION,Project Management,0.85
expense_report_clean_0040.pdf,Expense Report,Maria Schmidt,DATE_TIME,Jan 2024,0.85
expense_report_clean_0041.pdf,Expense Report,Lukas Weber,DATE_TIME,Feb 2024,0.85
expense_report_clean_0041.pdf,Expense Report,Lukas Weber,DATE_TIME,Feb 2024,0.85
expense_report_clean_0042.pdf,Expense Report,Priya Nair,DATE_TIME,03 Apr 2024,0.85
expense_report_clean_0043.pdf,Expense Report,Maria Schmidt,ORGANIZATION,Project Management,0.85
expense_report_clean_0043.pdf,Expense Report,Maria Schmidt,DATE_TIME,May 2024,0.85
expense_report_clean_0043.pdf,Expense Report,Maria Schmidt,DATE_TIME,May 2024,0.85
expense_report_clean_0043.pdf,Expense Report,Maria Schmidt,ORGANIZATION,Team Lead,0.85
expense_report_clean_0043.pdf,Expense Report,Maria Schmidt,ORGANIZATION,IT Service Desk,0.85
expense_report_clean_0044.pdf,Expense Report,Noah Becker,ORGANIZATION,Project Management,0.85
expense_report_clean_0044.pdf,Expense Report,Noah Becker,DATE_TIME,Jun 2024,0.85
expense_report_clean_0044.pdf,Expense Report,Noah Becker,DATE_TIME,Jun 2024,0.85
expense_report_clean_0045.pdf,Expense Report,Sofia Hartmann,ORGANIZATION,Project Management,0.85
expense_report_clean_0045.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Jul 2024,0.85
expense_report_clean_0045.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Jul 2024,0.85
expense_report_clean_0046.pdf,Expense Report,Jonas Fischer,DATE_TIME,Aug 2024,0.85
expense_report_clean_0046.pdf,Expense Report,Jonas Fischer,DATE_TIME,Aug 2024,0.85
expense_report_clean_0047.pdf,Expense Report,Tom Nguyen,ORGANIZATION,Project Management,0.85
expense_report_clean_0047.pdf,Expense Report,Tom Nguyen,DATE_TIME,Oct 2024,0.85
expense_report_clean_0047.pdf,Expense Report,Tom Nguyen,DATE_TIME,07 Oct 2024,0.85
expense_report_clean_0047.pdf,Expense Report,Tom Nguyen,ORGANIZATION,Team Lead,0.85
expense_report_clean_0047.pdf,Expense Report,Tom Nguyen,ORGANIZATION,IT Service Desk,0.85
expense_report_clean_0048.pdf,Expense Report,Jonas Fischer,ORGANIZATION,Project Management,0.85
expense_report_clean_0048.pdf,Expense Report,Jonas Fischer,DATE_TIME,11 Nov 2024,0.85
expense_report_clean_0048.pdf,Expense Report,Jonas Fischer,DATE_TIME,13 Nov 2024,0.85
expense_report_clean_0049.pdf,Expense Report,Tom Nguyen,ORGANIZATION,Project Management,0.85
expense_report_clean_0049.pdf,Expense Report,Tom Nguyen,DATE_TIME,Dec 2024,0.85
expense_report_clean_0049.pdf,Expense Report,Tom Nguyen,DATE_TIME,Dec 2024,0.85
expense_report_clean_0050.pdf,Expense Report,Jonas Fischer,ORGANIZATION,Project Management,0.85
expense_report_clean_0050.pdf,Expense Report,Jonas Fischer,DATE_TIME,Jan 2025,0.85
expense_report_clean_0051.pdf,Expense Report,Noah Becker,ORGANIZATION,Project Management,0.85
expense_report_clean_0051.pdf,Expense Report,Noah Becker,DATE_TIME,Mar 2025,0.85
expense_report_clean_0051.pdf,Expense Report,Noah Becker,DATE_TIME,04 Mar 2025,0.85
expense_report_clean_0052.pdf,Expense Report,Jonas Fischer,ORGANIZATION,Project Management,0.85
expense_report_clean_0052.pdf,Expense Report,Jonas Fischer,DATE_TIME,Apr 2025,0.85
expense_report_clean_0052.pdf,Expense Report,Jonas Fischer,DATE_TIME,Apr 2025,0.85
expense_report_clean_0056.pdf,Expense Report,Max Wagner,DATE_TIME,03 Sept 2025,0.85
expense_report_clean_0056.pdf,Expense Report,Max Wagner,DATE_TIME,Sept 2025,0.85
expense_report_clean_0057.pdf,Expense Report,Sofia Hartmann,ORGANIZATION,Project Management,0.85
expense_report_clean_0057.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Oct 2025,0.85
expense_report_clean_0057.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Oct 2025,0.85
expense_report_clean_0059.pdf,Expense Report,Priya Nair,DATE_TIME,Dec 2025,0.85
expense_report_clean_0059.pdf,Expense Report,Priya Nair,DATE_TIME,Dec 2025,0.85
expense_report_clean_0062.pdf,Expense Report,Priya Nair,ORGANIZATION,Project Management,0.85
expense_report_clean_0062.pdf,Expense Report,Priya Nair,DATE_TIME,Apr 2026,0.85
expense_report_clean_0062.pdf,Expense Report,Priya Nair,ORGANIZATION,Team Lead,0.85
expense_report_clean_0062.pdf,Expense Report,Priya Nair,ORGANIZATION,IT Service Desk,0.85
expense_report_clean_0063.pdf,Expense Report,Jonas Fischer,ORGANIZATION,Project Management,0.85
expense_report_clean_0063.pdf,Expense Report,Jonas Fischer,DATE_TIME,Feb 2020,0.85
expense_report_clean_0063.pdf,Expense Report,Jonas Fischer,DATE_TIME,03 Feb 2020,0.85
expense_report_clean_0066.pdf,Expense Report,Maria Schmidt,ORGANIZATION,Project Management,0.85
expense_report_clean_0066.pdf,Expense Report,Maria Schmidt,DATE_TIME,May 2020,0.85
expense_report_clean_0066.pdf,Expense Report,Maria Schmidt,DATE_TIME,May 2020,0.85
expense_report_clean_0067.pdf,Expense Report,Sofia Hartmann,ORGANIZATION,Project Management,0.85
expense_report_clean_0067.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Jun 2020,0.85
expense_report_clean_0067.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Jun 2020,0.85
expense_report_clean_0068.pdf,Expense Report,Maria Schmidt,ORGANIZATION,Signature,0.85
expense_report_clean_0069.pdf,Expense Report,Jonas Fischer,ORGANIZATION,Project Management,0.85
expense_report_clean_0069.pdf,Expense Report,Jonas Fischer,DATE_TIME,Sept 2020,0.85
expense_report_clean_0069.pdf,Expense Report,Jonas Fischer,DATE_TIME,Sept 2020,0.85
expense_report_clean_0069.pdf,Expense Report,Jonas Fischer,ORGANIZATION,Team Lead,0.85
expense_report_clean_0069.pdf,Expense Report,Jonas Fischer,ORGANIZATION,IT Service Desk,0.85
expense_report_clean_0071.pdf,Expense Report,Lukas Weber,ORGANIZATION,Project Management,0.85
expense_report_clean_0071.pdf,Expense Report,Lukas Weber,DATE_TIME,23 Nov 2020,0.85
expense_report_clean_0071.pdf,Expense Report,Lukas Weber,DATE_TIME,25 Nov 2020,0.85
expense_report_clean_0072.pdf,Expense Report,Anna Keller,DATE_TIME,Dec 2020,0.85
expense_report_clean_0072.pdf,Expense Report,Anna Keller,DATE_TIME,01 Jan 2021,0.85
expense_report_clean_0073.pdf,Expense Report,Maria Schmidt,ORGANIZATION,Project Management,0.85
expense_report_clean_0073.pdf,Expense Report,Maria Schmidt,DATE_TIME,05 Feb 2021,0.85
expense_report_clean_0073.pdf,Expense Report,Maria Schmidt,DATE_TIME,07 Feb 2021,0.85
expense_report_clean_0074.pdf,Expense Report,Elena Hoffmann,DATE_TIME,Mar 2021,0.85
expense_report_clean_0074.pdf,Expense Report,Elena Hoffmann,DATE_TIME,Mar 2021,0.85
expense_report_clean_0075.pdf,Expense Report,Maria Schmidt,ORGANIZATION,Project Management,0.85
expense_report_clean_0075.pdf,Expense Report,Maria Schmidt,DATE_TIME,Apr 2021,0.85
expense_report_clean_0075.pdf,Expense Report,Maria Schmidt,DATE_TIME,Apr 2021,0.85
expense_report_clean_0076.pdf,Expense Report,Lukas Weber,ORGANIZATION,Project Management,0.85
expense_report_clean_0076.pdf,Expense Report,Lukas Weber,DATE_TIME,May 2021,0.85
expense_report_clean_0076.pdf,Expense Report,Lukas Weber,DATE_TIME,May 2021,0.85
expense_report_clean_0078.pdf,Expense Report,Priya Nair,ORGANIZATION,Team Lead,0.85
expense_report_clean_0078.pdf,Expense Report,Priya Nair,ORGANIZATION,IT Service Desk,0.85
expense_report_clean_0079.pdf,Expense Report,Priya Nair,ORGANIZATION,Project Management,0.85
expense_report_clean_0079.pdf,Expense Report,Priya Nair,DATE_TIME,Sept 2021,0.85
expense_report_clean_0079.pdf,Expense Report,Priya Nair,DATE_TIME,Sept 2021,0.85
expense_report_clean_0079.pdf,Expense Report,Priya Nair,ORGANIZATION,Team Lead,0.85
expense_report_clean_0079.pdf,Expense Report,Priya Nair,ORGANIZATION,IT Service Desk,0.85
expense_report_clean_0080.pdf,Expense Report,Elena Hoffmann,ORGANIZATION,Project Management,0.85
expense_report_clean_0080.pdf,Expense Report,Elena Hoffmann,DATE_TIME,Oct 2021,0.85
expense_report_clean_0080.pdf,Expense Report,Elena Hoffmann,DATE_TIME,Oct 2021,0.85
expense_report_clean_0081.pdf,Expense Report,Noah Becker,DATE_TIME,28 Nov 2021,0.85
expense_report_clean_0081.pdf,Expense Report,Noah Becker,DATE_TIME,30 Nov 2021,0.85
expense_report_clean_0082.pdf,Expense Report,Tom Nguyen,ORGANIZATION,Project Management,0.85
expense_report_clean_0082.pdf,Expense Report,Tom Nguyen,DATE_TIME,04 Jan 2022,0.85
expense_report_clean_0082.pdf,Expense Report,Tom Nguyen,DATE_TIME,06 Jan 2022,0.85
expense_report_clean_0083.pdf,Expense Report,Anna Keller,ORGANIZATION,Project Management,0.85
expense_report_clean_0083.pdf,Expense Report,Anna Keller,DATE_TIME,Feb 2022,0.85
expense_report_clean_0083.pdf,Expense Report,Anna Keller,DATE_TIME,Feb 2022,0.85
expense_report_clean_0083.pdf,Expense Report,Anna Keller,ORGANIZATION,Team Lead,0.85
expense_report_clean_0083.pdf,Expense Report,Anna Keller,ORGANIZATION,IT Service Desk,0.85
expense_report_clean_0085.pdf,Expense Report,Elena Hoffmann,ORGANIZATION,Project Management,0.85
expense_report_clean_0085.pdf,Expense Report,Elena Hoffmann,DATE_TIME,Apr 2022,0.85
expense_report_clean_0085.pdf,Expense Report,Elena Hoffmann,DATE_TIME,Apr 2022,0.85
expense_report_clean_0088.pdf,Expense Report,Noah Becker,ORGANIZATION,Project Management,0.85
expense_report_clean_0088.pdf,Expense Report,Noah Becker,DATE_TIME,Aug 2022,0.85
expense_report_clean_0088.pdf,Expense Report,Noah Becker,DATE_TIME,Aug 2022,0.85
expense_report_clean_0089.pdf,Expense Report,Priya Nair,ORGANIZATION,Project Management,0.85
expense_report_clean_0089.pdf,Expense Report,Priya Nair,DATE_TIME,Sept 2022,0.85
expense_report_clean_0089.pdf,Expense Report,Priya Nair,DATE_TIME,Sept 2022,0.85
expense_report_clean_0090.pdf,Expense Report,Elena Hoffmann,ORGANIZATION,Team Lead,0.85
expense_report_clean_0090.pdf,Expense Report,Elena Hoffmann,ORGANIZATION,IT Service Desk,0.85
expense_report_clean_0091.pdf,Expense Report,Jonas Fischer,ORGANIZATION,Project Management,0.85
expense_report_clean_0091.pdf,Expense Report,Jonas Fischer,DATE_TIME,Dec 2022,0.85
expense_report_clean_0091.pdf,Expense Report,Jonas Fischer,DATE_TIME,Dec 2022,0.85
expense_report_clean_0092.pdf,Expense Report,Jonas Fischer,DATE_TIME,09 Jan 2023,0.85
expense_report_clean_0095.pdf,Expense Report,Sofia Hartmann,ORGANIZATION,Project Management,0.85
expense_report_clean_0095.pdf,Expense Report,Sofia Hartmann,DATE_TIME,Apr 2023,0.85
expense_report_clean_0095.pdf,Expense Report,Sofia Hartmann,DATE_TIME,02 May 2023,0.85
expense_report_clean_0098.pdf,Expense Report,Anna Keller,ORGANIZATION,Team Lead,0.85
expense_report_clean_0098.pdf,Expense Report,Anna Keller,ORGANIZATION,IT Service Desk,0.85
it_access_request_finding_0101.pdf,IT Access Request,Sofia Hartmann,PERSON,Maria Schmidt,0.85
it_access_request_finding_0101.pdf,IT Access Request,Sofia Hartmann,ORGANIZATION,Department: Compliance & Risk,0.85
it_access_request_finding_0101.pdf,IT Access Request,Sofia Hartmann,PERSON,Miriam Braun,0.85
it_access_request_finding_0101.pdf,IT Access Request,Sofia Hartmann,LOCATION,Stuttgart,0.85
it_access_request_finding_0101.pdf,IT Access Request,Sofia Hartmann,DATE_TIME,2022-03-11,0.85
it_access_request_finding_0101.pdf,IT Access Request,Sofia Hartmann,LOCATION,Lyon,0.85
it_access_request_finding_0101.pdf,IT Access Request,Sofia Hartmann,DATE_TIME,2022-04-18,0.85
it_access_request_finding_0101.pdf,IT Access Request,Sofia Hartmann,LOCATION,Milan,0.85
it_access_request_finding_0101.pdf,IT Access Request,Sofia Hartmann,DATE_TIME,2022-05-09,0.85
it_access_request_finding_0101.pdf,IT Access Request,Sofia Hartmann,ORGANIZATION,"MED-DE-440912
",0.85
it_access_request_finding_0101.pdf,IT Access Request,Sofia Hartmann,ORGANIZATION,"Reviewer: Identity & Access Team
Comments",0.85
it_access_request_finding_0101.pdf,IT Access Request,Sofia Hartmann,PERSON,M. Braun,0.85
it_access_request_finding_0101.pdf,IT Access Request,Sofia Hartmann,DATE_TIME,Dec 2023,0.85
it_access_request_finding_0102.pdf,IT Access Request,Noah Becker,PERSON,Elena Fischer,0.85
it_access_request_finding_0102.pdf,IT Access Request,Noah Becker,ORGANIZATION,Department: Compliance & Risk,0.85
it_access_request_finding_0102.pdf,IT Access Request,Noah Becker,PERSON,Miriam Braun,0.85
it_access_request_finding_0102.pdf,IT Access Request,Noah Becker,PERSON,elena dot fischer,0.85
it_access_request_finding_0102.pdf,IT Access Request,Noah Becker,ORGANIZATION,"Reviewer: Identity & Access Team
Comments",0.85
it_access_request_finding_0102.pdf,IT Access Request,Noah Becker,PERSON,M. Braun,0.85
it_access_request_finding_0102.pdf,IT Access Request,Noah Becker,DATE_TIME,14 Jan 2024,0.85
